x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
215.531;1618.06;0.698321;-4.5599;-0.0031409;-0.000438393;0.000849686;-0.000193447;-0.00338584;0.996722;0.00521015;-0.00411276;1.00317;0.0218651;0.982002;1;4;1
238.531;1618.06;0.691533;-4.43698;-0.00253435;-0.00423499;0.000942237;-0.00211547;-0.00465386;1.00129;0.00777999;-0.0122205;1.00166;0.0208799;0.983245;1;3;1
261.531;1618.06;0.579592;-4.13144;-0.00411859;-0.00193639;0.00163663;-0.0010605;-0.00499448;0.988823;0.00898741;-0.0130765;0.994029;0.0216024;0.98848;1;3;1
284.531;1618.06;0.498894;-3.93123;-0.000893478;0.000204384;0.000681022;0.000530163;-0.00121926;1.00298;0.0110797;-0.00621067;1.0017;0.0197911;0.990733;1;3;1
307.531;1618.06;0.53674;-3.7322;0.000479308;-0.0038332;0.000263475;0.000495345;-0.00384924;0.999876;0.00860512;-0.00811834;0.996307;0.019889;0.990958;1;3;1
330.531;1618.06;0.519115;-3.52167;-0.00205488;0.000189266;0.000947583;0.000535852;-0.00240147;1.00659;0.00517986;-0.00562192;0.999648;0.0246242;0.990203;1;3;1
353.531;1618.06;0.440419;-3.33724;-0.00286257;-0.00359467;0.000398028;-0.00268786;-0.00376938;0.991325;0.00449527;-0.0140335;0.998742;0.0221879;0.985704;1;2;1
376.531;1618.06;0.385775;-3.15422;-0.000447252;-0.0020759;0.000714868;-0.00017799;-0.00234516;1.00079;0.00496967;-0.00372624;0.992184;0.0205218;0.985751;1;3;1
399.531;1618.06;0.418398;-2.97299;0.000880266;-0.000408581;0.000764089;0.0012354;-0.000763714;1.00188;0.00677756;-0.00669182;0.993353;0.0219547;0.9882;1;2;1
422.531;1618.06;0.424073;-2.70654;-0.00197193;-0.00012664;0.0016015;0.000798979;-0.00289755;1.00028;0.00835969;-0.0179864;0.999238;0.0205859;0.986689;1;3;1
445.531;1618.06;0.325275;-2.511;-0.00232492;-0.0024084;0.000422694;-0.00194191;-0.00279141;0.993009;0.00590015;-0.00312746;1.0005;0.0208893;0.98714;1;3;1
468.531;1618.06;0.315507;-2.33612;-0.00229452;-0.00294266;0.00149603;-0.00108787;-0.00414932;0.997526;0.00680153;-0.00557045;0.995333;0.0188263;0.990062;1;3;1
491.531;1618.06;0.217767;-2.10024;-0.00215267;-0.00246093;0.00247782;0.000175808;-0.0047894;0.999418;0.00728243;-0.0119261;1.00463;0.0222748;0.983369;1;3;1
514.531;1618.06;0.213952;-1.86419;-0.000301442;0.00460821;0.000534425;0.00466571;-0.000358942;1.00251;0.00173084;-0.00989693;1.00796;0.0199956;0.986851;1;3;1
537.531;1618.06;0.202027;-1.68534;-0.000379078;0.000237511;0.000409006;0.000441399;-0.000582966;0.99827;-0.00168523;-0.00726384;0.999959;0.0214777;0.989219;1;3;1
560.531;1618.06;0.194762;-1.4631;-0.000549168;-0.00386004;0.00136211;-6.08189e-05;-0.00434839;0.99709;0.00978406;-0.0109083;0.995134;0.0194163;0.992283;1;3;1
583.531;1618.06;0.175131;-1.29848;-0.000753275;-0.00552817;0.000971497;-0.000563183;-0.00571827;1.00027;0.00720318;-0.00828329;0.997316;0.0188575;0.991161;1;2;1
606.531;1618.06;0.158272;-1.05343;-0.00123759;5.54133e-05;0.00191521;0.0014303;-0.00261247;0.998525;0.0114921;-0.00999095;1.00119;0.0235295;0.988204;1;3;1
629.531;1618.06;0.115302;-0.785474;0.000308467;0.000872653;0.00189472;0.00250617;-0.00132505;0.997086;0.00606262;-0.00702778;0.999994;0.0213565;0.990937;1;3;1
